"Statistic Label","Year","Age Group","Sex","Education Attainment Level","NUTS 2 Region","UNIT","VALUE"
"Annual employment rate","2019","All ages","Male","Primary and lower secondary education (Levels 1-2)","Southern","%","60.9"
"Annual employment rate","2019","All ages","Male","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","65.3"
"Annual employment rate","2019","All ages","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","80.5"
"Annual employment rate","2019","All ages","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","80.9"
"Annual employment rate","2019","All ages","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","80.5"
"Annual employment rate","2019","All ages","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","80.4"
"Annual employment rate","2019","All ages","Male","Tertiary education (Levels 5-8)","Ireland","%","89.7"
"Annual employment rate","2019","All ages","Male","Tertiary education (Levels 5-8)","Northern and Western","%","88.4"
"Annual employment rate","2019","All ages","Male","Tertiary education (Levels 5-8)","Southern","%","87.9"
"Annual employment rate","2019","All ages","Male","Tertiary education (Levels 5-8)","Eastern and Midland","%","90.8"
"Annual employment rate","2019","All ages","Male","Level of education - not stated","Ireland","%","78.7"
"Annual employment rate","2019","All ages","Male","Level of education - not stated","Northern and Western","%","84.2"
"Annual employment rate","2019","All ages","Male","Level of education - not stated","Southern","%","74.3"
"Annual employment rate","2019","All ages","Male","Level of education - not stated","Eastern and Midland","%","80.4"
"Annual employment rate","2019","All ages","Female","Levels of Education (Levels  0-8)","Ireland","%","68.7"
"Annual employment rate","2019","All ages","Female","Levels of Education (Levels  0-8)","Northern and Western","%","67.8"
"Annual employment rate","2019","All ages","Female","Levels of Education (Levels  0-8)","Southern","%","66.5"
"Annual employment rate","2019","All ages","Female","Levels of Education (Levels  0-8)","Eastern and Midland","%","70.4"
"Annual employment rate","2019","All ages","Female","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2019","All ages","Female","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2019","All ages","Female","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2019","All ages","Female","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2019","All ages","Female","Primary and lower secondary education (Levels 1-2)","Ireland","%","37.5"
"Annual employment rate","2019","All ages","Female","Primary and lower secondary education (Levels 1-2)","Northern and Western","%","36.2"
"Annual employment rate","2019","All ages","Female","Primary and lower secondary education (Levels 1-2)","Southern","%","33.9"
"Annual employment rate","2019","All ages","Female","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","40.4"
"Annual employment rate","2019","All ages","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","63.8"
"Annual employment rate","2019","All ages","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","65.1"
"Annual employment rate","2019","All ages","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","62.2"
"Annual employment rate","2019","All ages","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","64.4"
"Annual employment rate","2019","All ages","Female","Tertiary education (Levels 5-8)","Ireland","%","81"
"Annual employment rate","2019","All ages","Female","Tertiary education (Levels 5-8)","Northern and Western","%","78.9"
"Annual employment rate","2019","All ages","Female","Tertiary education (Levels 5-8)","Southern","%","80.4"
"Annual employment rate","2019","All ages","Female","Tertiary education (Levels 5-8)","Eastern and Midland","%","82.1"
"Annual employment rate","2019","All ages","Female","Level of education - not stated","Ireland","%","64.9"
"Annual employment rate","2019","All ages","Female","Level of education - not stated","Northern and Western","%","64.2"
"Annual employment rate","2019","All ages","Female","Level of education - not stated","Southern","%","62.2"
"Annual employment rate","2019","All ages","Female","Level of education - not stated","Eastern and Midland","%","67.4"
"Annual employment rate","2019","20 - 24 years","Both sexes","Levels of Education (Levels  0-8)","Ireland","%","64.7"
"Annual employment rate","2019","20 - 24 years","Both sexes","Levels of Education (Levels  0-8)","Northern and Western","%","62.6"
"Annual employment rate","2019","20 - 24 years","Both sexes","Levels of Education (Levels  0-8)","Southern","%","62.6"
"Annual employment rate","2019","20 - 24 years","Both sexes","Levels of Education (Levels  0-8)","Eastern and Midland","%","66.8"
"Annual employment rate","2019","20 - 24 years","Both sexes","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2019","20 - 24 years","Both sexes","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2019","20 - 24 years","Both sexes","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2019","20 - 24 years","Both sexes","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2019","20 - 24 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Ireland","%","29.5"
"Annual employment rate","2019","20 - 24 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2019","20 - 24 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Southern","%","27"
"Annual employment rate","2019","20 - 24 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","33.4"
"Annual employment rate","2019","20 - 24 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","62"
"Annual employment rate","2019","20 - 24 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","61.7"
"Annual employment rate","2019","20 - 24 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","60.7"
"Annual employment rate","2019","20 - 24 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","63.1"
"Annual employment rate","2019","20 - 24 years","Both sexes","Tertiary education (Levels 5-8)","Ireland","%","80.6"
"Annual employment rate","2019","20 - 24 years","Both sexes","Tertiary education (Levels 5-8)","Northern and Western","%","75.9"
"Annual employment rate","2019","20 - 24 years","Both sexes","Tertiary education (Levels 5-8)","Southern","%","78.6"
"Annual employment rate","2019","20 - 24 years","Both sexes","Tertiary education (Levels 5-8)","Eastern and Midland","%","82.8"
"Annual employment rate","2019","20 - 24 years","Both sexes","Level of education - not stated","Ireland","%","50.4"
"Annual employment rate","2019","20 - 24 years","Both sexes","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2019","20 - 24 years","Both sexes","Level of education - not stated","Southern","%","68"
"Annual employment rate","2019","20 - 24 years","Both sexes","Level of education - not stated","Eastern and Midland","%","39.6"
"Annual employment rate","2019","20 - 24 years","Male","Levels of Education (Levels  0-8)","Ireland","%","65.7"
"Annual employment rate","2019","20 - 24 years","Male","Levels of Education (Levels  0-8)","Northern and Western","%","63.5"
"Annual employment rate","2019","20 - 24 years","Male","Levels of Education (Levels  0-8)","Southern","%","63.4"
"Annual employment rate","2019","20 - 24 years","Male","Levels of Education (Levels  0-8)","Eastern and Midland","%","67.9"
"Annual employment rate","2019","20 - 24 years","Male","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2019","20 - 24 years","Male","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2019","20 - 24 years","Male","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2019","20 - 24 years","Male","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2019","20 - 24 years","Male","Primary and lower secondary education (Levels 1-2)","Ireland","%","32.4"
"Annual employment rate","2019","20 - 24 years","Male","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2019","20 - 24 years","Male","Primary and lower secondary education (Levels 1-2)","Southern","%",""
"Annual employment rate","2019","20 - 24 years","Male","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","36.5"
"Annual employment rate","2019","20 - 24 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","64.1"
"Annual employment rate","2019","20 - 24 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","63.8"
"Annual employment rate","2019","20 - 24 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","62.4"
"Annual employment rate","2019","20 - 24 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","65.5"
"Annual employment rate","2019","20 - 24 years","Male","Tertiary education (Levels 5-8)","Ireland","%","80.6"
"Annual employment rate","2019","20 - 24 years","Male","Tertiary education (Levels 5-8)","Northern and Western","%","74.3"
"Annual employment rate","2019","20 - 24 years","Male","Tertiary education (Levels 5-8)","Southern","%","78.9"
"Annual employment rate","2019","20 - 24 years","Male","Tertiary education (Levels 5-8)","Eastern and Midland","%","82.9"
"Annual employment rate","2019","20 - 24 years","Male","Level of education - not stated","Ireland","%","51.6"
"Annual employment rate","2019","20 - 24 years","Male","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2019","20 - 24 years","Male","Level of education - not stated","Southern","%",""
"Annual employment rate","2019","20 - 24 years","Male","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2019","20 - 24 years","Female","Levels of Education (Levels  0-8)","Ireland","%","63.7"
"Annual employment rate","2019","20 - 24 years","Female","Levels of Education (Levels  0-8)","Northern and Western","%","61.8"
"Annual employment rate","2019","20 - 24 years","Female","Levels of Education (Levels  0-8)","Southern","%","61.9"
"Annual employment rate","2019","20 - 24 years","Female","Levels of Education (Levels  0-8)","Eastern and Midland","%","65.6"
"Annual employment rate","2019","20 - 24 years","Female","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2019","20 - 24 years","Female","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2019","20 - 24 years","Female","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2019","20 - 24 years","Female","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2019","20 - 24 years","Female","Primary and lower secondary education (Levels 1-2)","Ireland","%","25.9"
"Annual employment rate","2019","20 - 24 years","Female","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2019","20 - 24 years","Female","Primary and lower secondary education (Levels 1-2)","Southern","%",""
"Annual employment rate","2019","20 - 24 years","Female","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%",""
"Annual employment rate","2019","20 - 24 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","59.6"
"Annual employment rate","2019","20 - 24 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","59.2"
"Annual employment rate","2019","20 - 24 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","58.8"
"Annual employment rate","2019","20 - 24 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","60.3"
"Annual employment rate","2019","20 - 24 years","Female","Tertiary education (Levels 5-8)","Ireland","%","80.5"
"Annual employment rate","2019","20 - 24 years","Female","Tertiary education (Levels 5-8)","Northern and Western","%","77"
"Annual employment rate","2019","20 - 24 years","Female","Tertiary education (Levels 5-8)","Southern","%","78.3"
"Annual employment rate","2019","20 - 24 years","Female","Tertiary education (Levels 5-8)","Eastern and Midland","%","82.7"
"Annual employment rate","2019","20 - 24 years","Female","Level of education - not stated","Ireland","%","49.4"
"Annual employment rate","2019","20 - 24 years","Female","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2019","20 - 24 years","Female","Level of education - not stated","Southern","%",""
"Annual employment rate","2019","20 - 24 years","Female","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2019","25 - 29 years","Both sexes","Levels of Education (Levels  0-8)","Ireland","%","79.3"
"Annual employment rate","2019","25 - 29 years","Both sexes","Levels of Education (Levels  0-8)","Northern and Western","%","77.8"
"Annual employment rate","2019","25 - 29 years","Both sexes","Levels of Education (Levels  0-8)","Southern","%","76.6"
"Annual employment rate","2019","25 - 29 years","Both sexes","Levels of Education (Levels  0-8)","Eastern and Midland","%","81.2"
"Annual employment rate","2019","25 - 29 years","Both sexes","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2019","25 - 29 years","Both sexes","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2019","25 - 29 years","Both sexes","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2019","25 - 29 years","Both sexes","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2019","25 - 29 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Ireland","%","45.3"
"Annual employment rate","2019","25 - 29 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Northern and Western","%","51.5"
"Annual employment rate","2019","25 - 29 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Southern","%","35.6"
"Annual employment rate","2019","25 - 29 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","48.4"
"Annual employment rate","2019","25 - 29 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","74.4"
"Annual employment rate","2019","25 - 29 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","75.6"
"Annual employment rate","2019","25 - 29 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","73.6"
"Annual employment rate","2019","25 - 29 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","74.5"
"Annual employment rate","2019","25 - 29 years","Both sexes","Tertiary education (Levels 5-8)","Ireland","%","86.4"
"Annual employment rate","2019","25 - 29 years","Both sexes","Tertiary education (Levels 5-8)","Northern and Western","%","82.2"
"Annual employment rate","2019","25 - 29 years","Both sexes","Tertiary education (Levels 5-8)","Southern","%","84.4"
"Annual employment rate","2019","25 - 29 years","Both sexes","Tertiary education (Levels 5-8)","Eastern and Midland","%","88.3"
"Annual employment rate","2019","25 - 29 years","Both sexes","Level of education - not stated","Ireland","%","81.3"
"Annual employment rate","2019","25 - 29 years","Both sexes","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2019","25 - 29 years","Both sexes","Level of education - not stated","Southern","%","77.9"
"Annual employment rate","2019","25 - 29 years","Both sexes","Level of education - not stated","Eastern and Midland","%","81.1"
"Annual employment rate","2019","25 - 29 years","Male","Levels of Education (Levels  0-8)","Ireland","%","83.2"
"Annual employment rate","2019","25 - 29 years","Male","Levels of Education (Levels  0-8)","Northern and Western","%","83.7"
"Annual employment rate","2019","25 - 29 years","Male","Levels of Education (Levels  0-8)","Southern","%","79.4"
"Annual employment rate","2019","25 - 29 years","Male","Levels of Education (Levels  0-8)","Eastern and Midland","%","85.2"
"Annual employment rate","2019","25 - 29 years","Male","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2019","25 - 29 years","Male","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2019","25 - 29 years","Male","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2019","25 - 29 years","Male","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2019","25 - 29 years","Male","Primary and lower secondary education (Levels 1-2)","Ireland","%","55.7"
"Annual employment rate","2019","25 - 29 years","Male","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2019","25 - 29 years","Male","Primary and lower secondary education (Levels 1-2)","Southern","%",""
"Annual employment rate","2019","25 - 29 years","Male","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","64.3"
"Annual employment rate","2019","25 - 29 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","81.2"
"Annual employment rate","2019","25 - 29 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","82.1"
"Annual employment rate","2019","25 - 29 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","80.4"
"Annual employment rate","2019","25 - 29 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","81.6"
"Annual employment rate","2019","25 - 29 years","Male","Tertiary education (Levels 5-8)","Ireland","%","88.7"
"Annual employment rate","2019","25 - 29 years","Male","Tertiary education (Levels 5-8)","Northern and Western","%","86.9"
"Annual employment rate","2019","25 - 29 years","Male","Tertiary education (Levels 5-8)","Southern","%","85.4"
"Annual employment rate","2019","25 - 29 years","Male","Tertiary education (Levels 5-8)","Eastern and Midland","%","90.6"
"Annual employment rate","2019","25 - 29 years","Male","Level of education - not stated","Ireland","%","81.6"
"Annual employment rate","2019","25 - 29 years","Male","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2019","25 - 29 years","Male","Level of education - not stated","Southern","%","83.1"
"Annual employment rate","2019","25 - 29 years","Male","Level of education - not stated","Eastern and Midland","%","76.7"
"Annual employment rate","2019","25 - 29 years","Female","Levels of Education (Levels  0-8)","Ireland","%","75.4"
"Annual employment rate","2019","25 - 29 years","Female","Levels of Education (Levels  0-8)","Northern and Western","%","71.8"
"Annual employment rate","2019","25 - 29 years","Female","Levels of Education (Levels  0-8)","Southern","%","73.8"
"Annual employment rate","2019","25 - 29 years","Female","Levels of Education (Levels  0-8)","Eastern and Midland","%","77.3"
"Annual employment rate","2019","25 - 29 years","Female","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2019","25 - 29 years","Female","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2019","25 - 29 years","Female","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2019","25 - 29 years","Female","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2019","25 - 29 years","Female","Primary and lower secondary education (Levels 1-2)","Ireland","%","29.4"
"Annual employment rate","2019","25 - 29 years","Female","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2019","25 - 29 years","Female","Primary and lower secondary education (Levels 1-2)","Southern","%",""
"Annual employment rate","2019","25 - 29 years","Female","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%",""
"Annual employment rate","2019","25 - 29 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","66.7"
"Annual employment rate","2019","25 - 29 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","68.5"
"Annual employment rate","2019","25 - 29 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","66.3"
"Annual employment rate","2019","25 - 29 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","66.3"
"Annual employment rate","2019","25 - 29 years","Female","Tertiary education (Levels 5-8)","Ireland","%","84.4"
"Annual employment rate","2019","25 - 29 years","Female","Tertiary education (Levels 5-8)","Northern and Western","%","77.9"
"Annual employment rate","2019","25 - 29 years","Female","Tertiary education (Levels 5-8)","Southern","%","83.5"
"Annual employment rate","2019","25 - 29 years","Female","Tertiary education (Levels 5-8)","Eastern and Midland","%","86.3"
"Annual employment rate","2019","25 - 29 years","Female","Level of education - not stated","Ireland","%","81.1"
"Annual employment rate","2019","25 - 29 years","Female","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2019","25 - 29 years","Female","Level of education - not stated","Southern","%",""
"Annual employment rate","2019","25 - 29 years","Female","Level of education - not stated","Eastern and Midland","%","85.9"
"Annual employment rate","2019","30 - 34 years","Both sexes","Levels of Education (Levels  0-8)","Ireland","%","80.9"
"Annual employment rate","2019","30 - 34 years","Both sexes","Levels of Education (Levels  0-8)","Northern and Western","%","81.3"
"Annual employment rate","2019","30 - 34 years","Both sexes","Levels of Education (Levels  0-8)","Southern","%","80.1"
"Annual employment rate","2019","30 - 34 years","Both sexes","Levels of Education (Levels  0-8)","Eastern and Midland","%","81.1"
"Annual employment rate","2019","30 - 34 years","Both sexes","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2019","30 - 34 years","Both sexes","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2019","30 - 34 years","Both sexes","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2019","30 - 34 years","Both sexes","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2019","30 - 34 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Ireland","%","51.6"
"Annual employment rate","2019","30 - 34 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Northern and Western","%","51"
"Annual employment rate","2019","30 - 34 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Southern","%","50.1"
"Annual employment rate","2019","30 - 34 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","52.4"
"Annual employment rate","2019","30 - 34 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","77.3"
"Annual employment rate","2019","30 - 34 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","80.2"
"Annual employment rate","2019","30 - 34 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","77.8"
"Annual employment rate","2019","30 - 34 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","76"
"Annual employment rate","2019","30 - 34 years","Both sexes","Tertiary education (Levels 5-8)","Ireland","%","88"
"Annual employment rate","2019","30 - 34 years","Both sexes","Tertiary education (Levels 5-8)","Northern and Western","%","87.6"
"Annual employment rate","2019","30 - 34 years","Both sexes","Tertiary education (Levels 5-8)","Southern","%","87.4"
"Annual employment rate","2019","30 - 34 years","Both sexes","Tertiary education (Levels 5-8)","Eastern and Midland","%","88.3"
"Annual employment rate","2019","30 - 34 years","Both sexes","Level of education - not stated","Ireland","%","76.5"
"Annual employment rate","2019","30 - 34 years","Both sexes","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2019","30 - 34 years","Both sexes","Level of education - not stated","Southern","%","72"
"Annual employment rate","2019","30 - 34 years","Both sexes","Level of education - not stated","Eastern and Midland","%","81.5"
"Annual employment rate","2019","30 - 34 years","Male","Levels of Education (Levels  0-8)","Ireland","%","88.2"
"Annual employment rate","2019","30 - 34 years","Male","Levels of Education (Levels  0-8)","Northern and Western","%","88.2"
"Annual employment rate","2019","30 - 34 years","Male","Levels of Education (Levels  0-8)","Southern","%","86.4"
"Annual employment rate","2019","30 - 34 years","Male","Levels of Education (Levels  0-8)","Eastern and Midland","%","89.2"
"Annual employment rate","2019","30 - 34 years","Male","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2019","30 - 34 years","Male","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2019","30 - 34 years","Male","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2019","30 - 34 years","Male","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2019","30 - 34 years","Male","Primary and lower secondary education (Levels 1-2)","Ireland","%","64.6"
"Annual employment rate","2019","30 - 34 years","Male","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2019","30 - 34 years","Male","Primary and lower secondary education (Levels 1-2)","Southern","%","63"
"Annual employment rate","2019","30 - 34 years","Male","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","67.5"
"Annual employment rate","2019","30 - 34 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","87.8"
"Annual employment rate","2019","30 - 34 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","88.5"
"Annual employment rate","2019","30 - 34 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","88.3"
"Annual employment rate","2019","30 - 34 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","87.2"
"Annual employment rate","2019","30 - 34 years","Male","Tertiary education (Levels 5-8)","Ireland","%","93.6"
"Annual employment rate","2019","30 - 34 years","Male","Tertiary education (Levels 5-8)","Northern and Western","%","94.4"
"Annual employment rate","2019","30 - 34 years","Male","Tertiary education (Levels 5-8)","Southern","%","91.7"
"Annual employment rate","2019","30 - 34 years","Male","Tertiary education (Levels 5-8)","Eastern and Midland","%","94.3"
"Annual employment rate","2019","30 - 34 years","Male","Level of education - not stated","Ireland","%","85.3"
"Annual employment rate","2019","30 - 34 years","Male","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2019","30 - 34 years","Male","Level of education - not stated","Southern","%","77.3"
